Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2013:Q4,RemainingTop1,13426075,13954300,2174128,352511,4594453,930686,870002,1961275,3071245,528225,359626,40075,128524
2013:Q4,Next9,29968696,32507662,6181605,998048,6509214,6877062,3268426,2969287,5704020,2538966,2034117,242893,261956
2013:Q4,Next40,22834474,28290487,8574006,1936801,2413880,6371067,3241167,1262500,4491066,5456013,4300641,1017969,137403
2013:Q4,Bottom50,660662,5345618,2609117,1120859,140619,253229,360856,114468,746470,4684956,2668794,1776253,239909
2014:Q1,TopPt1,9597074,9674871,761847,385091,4330304,38182,124209,2092597,1942641,77797,33600,13155,31042
2014:Q1,RemainingTop1,13817041,14353559,2228067,349359,4876090,902251,874146,2008327,3115320,536518,364285,42808,129425
2014:Q1,Next9,30642312,33173890,6302775,980735,6819513,6992670,3346022,2908747,5823428,2531579,2023151,238872,269556
2014:Q1,Next40,23124961,28610285,8701490,1944610,2488864,6397246,3248034,1258317,4571724,5485325,4319279,1021147,144899
2014:Q1,Bottom50,702806,5339339,2586877,1119273,148060,250942,361497,115583,757107,4636533,2609150,1780833,246550
2014:Q2,TopPt1,9981749,10063064,782269,392683,4592282,42483,132890,2180211,1940246,81315,35851,14067,31397
2014:Q2,RemainingTop1,14282468,14828223,2283708,348388,5175385,874250,887184,2114732,3144575,545755,368840,47051,129864
2014:Q2,Next9,31415318,33956498,6433716,976255,7155224,7113851,3468236,2952260,5856956,2541180,2021706,247428,272046
2014:Q2,Next40,23456901,29015036,8872118,1959751,2571578,6426697,3299408,1285358,4600126,5558135,4350027,1058298,149810
2014:Q2,Bottom50,800488,5405230,2634510,1120466,156299,248791,367287,117099,760778,4604742,2557461,1797158,250123
2014:Q3,TopPt1,10039157,10121589,795789,408595,4501272,46911,139444,2267719,1961859,82432,37836,14883,29713
2014:Q3,RemainingTop1,14393413,14940062,2342261,346635,5127906,844460,878714,2220836,3179250,546649,374724,51035,120890
2014:Q3,Next9,31664243,34177370,6562682,968749,7003193,7220914,3471706,2996891,5953235,2513127,2021113,254173,237841
2014:Q3,Next40,23608159,29217165,9066463,1982340,2517994,6444674,3245775,1312621,4647297,5609005,4387824,1093092,128089
2014:Q3,Bottom50,829638,5395886,2628507,1127209,148710,246124,361338,118644,765354,4566248,2517857,1829763,218628
2014:Q4,TopPt1,10311041,10396023,802844,426223,4678326,51257,147160,2339439,1950774,84981,39753,15659,29569
2014:Q4,RemainingTop1,14748900,15304315,2391207,343845,5344022,815765,885460,2316603,3207413,555415,380671,55284,119460
2014:Q4,Next9,32239990,34754129,6661635,954575,7223229,7339476,3566197,3025809,5983208,2514139,2019337,262241,232561
2014:Q4,Next40,23830936,29511962,9201616,1997226,2569068,6470659,3269136,1334938,4669320,5681026,4424038,1128949,128039
2014:Q4,Bottom50,828815,5369029,2588416,1129892,153211,243803,363820,120135,769752,4540214,2477708,1847406,215100
2015:Q1,TopPt1,10551816,10637707,818591,440736,4787486,55674,155128,2396524,1983568,85891,40752,15243,29896
2015:Q1,RemainingTop1,15063302,15629021,2446088,341702,5493150,786028,891322,2402548,3268183,565719,387261,57697,120761
2015:Q1,Next9,32829122,35322413,6786486,944077,7349881,7450741,3646238,3040194,6104795,2493291,2002185,256776,234330
2015:Q1,Next40,24158091,29860738,9350801,2013145,2594231,6490554,3288043,1352622,4771342,5702647,4442132,1126866,133649
2015:Q1,Bottom50,876018,5372967,2570697,1132679,154713,241204,366121,121560,785993,4496949,2428607,1850521,217821
2015:Q2,TopPt1,10681709,10770113,840369,459012,4805951,60168,161243,2496319,1947051,88404,42227,15896,30281
2015:Q2,RemainingTop1,15242918,15823660,2513406,340621,5552000,755183,885855,2515880,3260714,580741,395497,62047,123197
2015:Q2,Next9,33155443,35659788,6944459,941950,7351212,7554353,3681929,3100879,6085005,2504345,2001237,265261,237847
2015:Q2,Next40,24261732,30056877,9521462,2047138,2584334,6504184,3255693,1384578,4759488,5795145,4490082,1163766,141297
2015:Q2,Bottom50,905339,5405667,2596858,1146365,152241,238317,362152,123249,786486,4500328,2407567,1870771,221990
2015:Q3,TopPt1,10410822,10501485,855752,454174,4383105,64831,163745,2551588,2028290,90662,43927,16632,30103
2015:Q3,RemainingTop1,15027334,15620161,2560562,342294,5169248,721967,849437,2599885,3376768,592827,403459,66080,123288
2015:Q3,Next9,32782630,35290744,7027066,952408,6738895,7639684,3558033,3115134,6259524,2508114,2003247,272902,231965
2015:Q3,Next40,24168126,30051633,9765030,2066615,2400433,6503564,3079051,1402026,4834914,5883506,4540796,1200570,142140
2015:Q3,Bottom50,906478,5416840,2646082,1148205,130475,234782,341737,124697,790862,4510362,2386908,1906882,216572
2015:Q4,TopPt1,10606400,10698447,863730,455874,4571499,69254,171650,2558847,2007593,92047,46465,15565,30017
