quarter,wealth_group,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
2015Q1,bottom50,2570697.0,1669591.0,420993.0
2015Q1,middle40,9350801.0,18496792.0,3084994.0
2015Q1,top10,10051165.0,49811460.0,6534443.0
2015Q2,bottom50,2596858.0,1662445.0,421061.0
2015Q2,middle40,9521462.0,18488277.0,3085428.0
2015Q2,top10,10298234.0,50213742.0,6580950.0
2015Q3,bottom50,2646082.0,1622553.0,420899.0
2015Q3,middle40,9765030.0,18219988.0,3093906.0
2015Q3,top10,10443380.0,49220134.0,6683585.0
2015Q4,bottom50,2655204.0,1645585.0,431440.0
2015Q4,middle40,9964205.0,18410054.0,3162739.0
2015Q4,top10,10560901.0,50134420.0,6867675.0
2016Q1,bottom50,2631571.0,1661038.0,442794.0
2016Q1,middle40,10099629.0,18557865.0,3230764.0
2016Q1,top10,10730197.0,50783568.0,7022661.0
2016Q2,bottom50,2621648.0,1666659.0,438001.0
2016Q2,middle40,10326357.0,18693538.0,3197485.0
2016Q2,top10,11048016.0,51737681.0,6986092.0
2016Q3,bottom50,2747066.0,1689185.0,447328.0
2016Q3,middle40,10608160.0,18913610.0,3252381.0
2016Q3,top10,11147409.0,52687985.0,7113982.0
2016Q4,bottom50,2745191.0,1712382.0,456727.0
2016Q4,middle40,10845011.0,19014236.0,3322864.0
2016Q4,top10,11312674.0,52831967.0,7149212.0
2017Q1,bottom50,2768845.0,1765477.0,472003.0
2017Q1,middle40,11027748.0,19414297.0,3426412.0
2017Q1,top10,11522228.0,54286782.0,7230958.0
2017Q2,bottom50,2860041.0,1790068.0,467904.0
2017Q2,middle40,11232187.0,19662702.0,3417124.0
2017Q2,top10,11746907.0,55517501.0,7132971.0
2017Q3,bottom50,2925540.0,1830564.0,472656.0
2017Q3,middle40,11479878.0,19937150.0,3470367.0
2017Q3,top10,11940458.0,56464090.0,7174619.0
2017Q4,bottom50,2980105.0,1881630.0,483248.0
2017Q4,middle40,11685350.0,20340042.0,3560705.0
2017Q4,top10,12081081.0,58173574.0,7286380.0
2018Q1,bottom50,3038538.0,1906871.0,502110.0
2018Q1,middle40,11964260.0,20481052.0,3688051.0
2018Q1,top10,12366608.0,58417641.0,7409834.0
2018Q2,bottom50,3118999.0,1925106.0,499744.0
2018Q2,middle40,12099390.0,20652845.0,3696484.0
2018Q2,top10,12543806.0,59143409.0,7365183.0
2018Q3,bottom50,3171347.0,1957256.0,493127.0
2018Q3,middle40,12319805.0,20948622.0,3674783.0
2018Q3,top10,12709772.0,60540479.0,7251360.0
2018Q4,bottom50,3206261.0,1898056.0,506823.0
2018Q4,middle40,12087119.0,20404140.0,3794764.0
2018Q4,top10,12457465.0,57323463.0,7455063.0
2019Q1,bottom50,3165188.0,2001664.0,523335.0
2019Q1,middle40,11981413.0,21309153.0,3926111.0
2019Q1,top10,12533364.0,61529353.0,7657925.0
2019Q2,bottom50,3246315.0,2033698.0,516149.0
2019Q2,middle40,12475812.0,21662703.0,3897206.0
2019Q2,top10,12979933.0,62909986.0,7512053.0
2019Q3,bottom50,3405386.0,2053424.0,519461.0
2019Q3,middle40,12450456.0,21858972.0,3961702.0
2019Q3,top10,12873236.0,63184662.0,7665255.0
2019Q4,bottom50,3384811.0,2162282.0,548231.0
2019Q4,middle40,12406240.0,22749059.0,4150201.0
2019Q4,top10,12780794.0,65259939.0,7982672.0
2020Q1,bottom50,3467658.0,2079623.0,582219.0
2020Q1,middle40,12882076.0,22060898.0,4401738.0
2020Q1,top10,13160480.0,59101383.0,8577835.0
2020Q2,bottom50,3547023.0,2282631.0,641993.0
2020Q2,middle40,13157607.0,23628021.0,4783780.0
2020Q2,top10,13358023.0,64269218.0,9262677.0
2020Q3,bottom50,3657477.0,2388827.0,660019.0
2020Q3,middle40,13735896.0,24503941.0,4881399.0
2020Q3,top10,13842767.0,66809439.0,9280507.0
2020Q4,bottom50,3773848.0,2567450.0,704201.0
2020Q4,middle40,14229106.0,26018458.0,5140225.0
2020Q4,top10,14284194.0,72209359.0,9601102.0
2021Q1,bottom50,3887731.0,2697094.0,759427.0
2021Q1,middle40,15002365.0,26975857.0,5482835.0
2021Q1,top10,15015747.0,75041774.0,10155184.0
2021Q2,bottom50,4117563.0,2800357.0,768425.0
2021Q2,middle40,16420829.0,27966798.0,5538733.0
2021Q2,top10,16298476.0,78690299.0,10183944.0
2021Q3,bottom50,4269294.0,2847568.0,781533.0
2021Q3,middle40,17242390.0,28469861.0,5613419.0
2021Q3,top10,17032109.0,79804609.0,10219591.0
2021Q4,bottom50,4359637.0,2958982.0,817040.0
2021Q4,middle40,17511027.0,29408413.0,5838258.0
2021Q4,top10,17317293.0,82185848.0,10581570.0
2022Q1,bottom50,4561227.0,2946534.0,838764.0
2022Q1,middle40,18857373.0,29260073.0,5967394.0
2022Q1,top10,18546998.0,80221187.0,10725776.0
2022Q2,bottom50,4823243.0,2809406.0,835506.0
2022Q2,middle40,19958299.0,28118563.0,5957008.0
2022Q2,top10,19477916.0,73596224.0,10683553.0
2022Q3,bottom50,4763162.0,2776711.0,827365.0
2022Q3,middle40,19282099.0,27878140.0,5920664.0
2022Q3,top10,18876195.0,71731639.0,10613048.0
2022Q4,bottom50,4651506.0,2807420.0,809170.0
2022Q4,middle40,18836878.0,28196844.0,5831138.0
2022Q4,top10,18467469.0,73478891.0,10542065.0
2023Q1,bottom50,4681816.0,2851083.0,792320.0
2023Q1,middle40,18970117.0,28760467.0,5769186.0
2023Q1,top10,18557612.0,76127034.0,10612831.0
2023Q2,bottom50,4736329.0,2901246.0,784568.0
2023Q2,middle40,20430073.0,29287590.0,5743512.0
2023Q2,top10,19547685.0,78796940.0,10673041.0
2023Q3,bottom50,4757718.0,2863020.0,776899.0
2023Q3,middle40,20724349.0,29001353.0,5716869.0
2023Q3,top10,19718501.0,77684545.0,10735567.0
2023Q4,bottom50,4713991.0,2973259.0,783206.0
2023Q4,middle40,20470610.0,29985570.0,5772939.0
2023Q4,top10,19611947.0,81496382.0,10930709.0
2024Q1,bottom50,4737303.0,3075523.0,798494.0
2024Q1,middle40,21082724.0,30792907.0,5873034.0
2024Q1,top10,20051451.0,85081191.0,11131082.0
2024Q2,bottom50,4778969.0,3084772.0,781233.0
2024Q2,middle40,22097273.0,30976794.0,5779165.0
2024Q2,top10,20722119.0,86171810.0,11019931.0
2024Q3,bottom50,4779469.0,3162975.0,783966.0
2024Q3,middle40,21919258.0,31724730.0,5814011.0
2024Q3,top10,20616780.0,89802876.0,11182782.0
2024Q4,bottom50,4790127.0,3192914.0,799402.0
2024Q4,middle40,21685404.0,31915107.0,5932830.0
2024Q4,top10,20455454.0,90490411.0,11541239.0
2025Q1,bottom50,4752549.0,3185957.0,813856.0
2025Q1,middle40,21951561.0,31856778.0,6032223.0
2025Q1,top10,20789165.0,89770350.0,11749993.0
2025Q2,bottom50,4785085.0,3286535.0,813768.0
2025Q2,middle40,22591201.0,32754691.0,6041435.0
2025Q2,top10,21264428.0,93864214.0,11791454.0
2025Q3,bottom50,4829084.0,3380080.0,819637.0
2025Q3,middle40,22361542.0,33614615.0,6094397.0
2025Q3,top10,21077658.0,98285970.0,11980906.0
2025Q4,bottom50,4869885.0,3424161.0,827070.0
2025Q4,middle40,22172445.0,33983706.0,6161864.0
2025Q4,top10,20871092.0,99991794.0,12259822.0
2026Q1,bottom50,4826745.0,3411727.0,847489.0
2026Q1,middle40,22650205.0,33856427.0,6289324.0
2026Q1,top10,21246392.0,99114514.0,12521954.0
